Date : 2025-11-02 01:39:40
Directory : /home/paradise/tiny-lsm
Total : 373 files,  77916 codes, 5495 comments, 17436 blanks, all 100847 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C++          |        260 |     61,649 |      5,459 |     10,805 |     77,913 |
| Markdown     |         87 |     15,004 |          0 |      6,436 |     21,440 |
| CMake        |         10 |        505 |          0 |         55 |        560 |
| YAML         |          7 |        366 |          1 |         31 |        398 |
| XMake        |          1 |        236 |          9 |         45 |        290 |
| Python       |          5 |        140 |         23 |         58 |        221 |
| Shell Script |          2 |         11 |          3 |          4 |         18 |
| Docker       |          1 |          5 |          0 |          2 |          7 |
+--------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                |        373 |     77,916 |      5,495 |     17,436 |    100,847 |
| . (Files)                                                                        |          3 |        426 |          9 |         94 |        529 |
| example                                                                          |          2 |         52 |          9 |         13 |         74 |
| include                                                                          |         84 |     16,359 |      1,418 |      2,701 |     20,478 |
| include (Files)                                                                  |          3 |        124 |         32 |         33 |        189 |
| include/block                                                                    |          4 |        170 |         59 |         41 |        270 |
| include/config                                                                   |          1 |         49 |         13 |         18 |         80 |
| include/iterator                                                                 |          1 |         75 |          3 |         15 |         93 |
| include/logger                                                                   |          1 |          6 |          0 |          4 |         10 |
| include/lsm                                                                      |          5 |        242 |          7 |         60 |        309 |
| include/memtable                                                                 |          1 |         64 |          0 |         16 |         80 |
| include/redis_wrapper                                                            |          1 |         87 |         12 |         11 |        110 |
| include/skiplist                                                                 |          1 |         99 |         26 |         27 |        152 |
| include/sst                                                                      |          3 |        153 |         39 |         39 |        231 |
| include/toml11                                                                   |         57 |     15,087 |      1,172 |      2,357 |     18,616 |
| include/toml11 (Files)                                                           |         33 |     10,501 |        816 |      1,444 |     12,761 |
| include/toml11/fwd                                                               |         12 |      1,841 |        162 |        543 |      2,546 |
| include/toml11/impl                                                              |         12 |      2,745 |        194 |        370 |      3,309 |
| include/utils                                                                    |          4 |        126 |         46 |         59 |        231 |
| include/wal                                                                      |          2 |         77 |          9 |         21 |        107 |
| sdk                                                                              |          7 |        218 |         35 |         71 |        324 |
| sdk (Files)                                                                      |          3 |         89 |         18 |         24 |        131 |
